Abs;IC;AA;AD;PRA;MDL;Tipo
30;1000;2;39;78;77.534;treino
30;1000;4;21.5;86;87.845;treino
30;1000;6;14.916;89.5;88.679;treino
30;1000;10;9.375;93.75;93.050;treino
60;100;2;3.85;77;76.971;treino
60;100;4;2.188;87.5;88.442;treino
60;100;6;1.576;94.58;95.991;treino
60;100;10;0.988;98.75;98.133;treino
80;500;0.5;98.75;98.75;97.930;treino
80;500;1;49.583;99.17;99.677;treino
80;500;1.5;33.056;99.17;99.865;treino
80;500;2;24.844;99.38;99.910;treino
80;500;3;16.597;99.58;99.939;treino
80;500;4;12.448;99.58;99.951;treino
90;500;1;48.464;96.93;99.768;treino
90;500;2;24.974;99.9;99.924;treino
90;500;2.5;19.99;99.95;99.937;treino
90;500;3;16.667;100;99.945;treino
